,comment_id,product_id,guid,content,create_time,reference_id,reference_time,score,nickname,user_level,is_mobile,user_client
0,11803011630,6474492,52e65614-f933-4d36-95b7-57778735bcb1,敲棒   暂时没遇到差评里出现的状况  emm再看呗   反正现在我对我的小可爱小银白很喜欢  只要把各种系统什么的启动了    开机就很快啦    然后  外观我很喜欢   然后然后  我还是很喜欢   哈哈哈哈哈   就酱  敲棒???,2018-08-13 18:52:10,6474492,2018-08-11 09:25:47,5,姜***8,银牌会员,True,来自京东iPhone客户端
1,11622262587,6474492,56450cb7-29cd-40fd-b5ab-91a91262410f,这本本收到几天了，还没怎么用，不过外观是杠杠的，超级漂亮，全金属的，质感非常好?键盘全背光设置，真的又实用又漂亮，系统是win 10，目前还没太习惯，配置也很好，完全够用了，很喜欢，物流也超快，简直高兴的不要不要的，给京东点赞?,2018-06-21 10:00:09,6474492,2018-06-18 00:04:08,5,j***g,金牌会员,True,来自京东iPhone客户端
2,11799692366,6474492,5ac620d3-adf5-411f-beab-a33a2c2f1032,电脑还是很不错的，而且挺挺好看的，具体怎么用？我还不太熟悉，但是外观还是很美的，而且也比较流畅，我还是挺喜欢的，而且比较轻薄,2018-08-12 18:47:50,6474492,2018-08-11 17:31:53,5,j***i,银牌会员,True,来自京东Android客户端
3,11812202081,6474492,4848655d-180b-4991-87c2-6a569c073ad0,京东物流确实快，赞一个?电脑开机很快，我不玩游戏，主要用来家庭常规使用，打开页面也很快，大屏幕看起来很舒服，唯一美中不足是只有裸机。,2018-08-16 15:18:10,6474492,2018-08-11 17:21:22,5,j***s,金牌会员,True,来自京东Android客户端
4,11825546509,6474492,dbeee73e-f96d-414f-aba8-0e448d203a06,机器运行速度和产品的质感还是很赞的，键盘背光在夜晚用起来很温馨；最惊艳的是屏幕的占比，比上一代产品只能说很赞很赞，之前在JD买了一台燃系列，因为主板原因，坏了， 后来干脆不修了， 直接换了这台，特地用了接近10几天再来评论的， 列为看官直接看图吧，内心还是觉得戴尔很不错的。推荐,2018-08-20 18:06:24,6474492,2018-08-07 00:01:37,5,昵***8,PLUS会员,True,来自京东iPhone客户端
5,11690165335,6474492,697dff73-48b7-420a-bc18-215bb961ba22,买来学平面设计用的，用ps这些到没有出没有卡顿，一边啃鸡爪一边学，感觉还不错手感尺寸都挺好的。本来之前是看上那款灵越燃7000的电脑，但是尺寸太小了，这款大很多而且独显4g挺好的。卖家服务也很好，有什么不会的耐心回答，这可是我的第一个本本，加油。好好学习,2018-07-10 13:50:18,6474492,2018-06-18 05:37:53,5,似***梦,银牌会员,True,来自京东Android客户端
6,11510691759,6474492,1a56a110-ef8e-4725-9a49-c5b28ab3000e,戴尔的笔记本做工挺精细的，金属机身，我的最爱，摸起来手感也好，电脑没什么噪音，颜值也高，价格相对也还好，桌面简洁，没什么自带的软件虽然是美国货，价格相比&ldquo;美帝良心&rdquo;还算是有优势的吧，对京东相当满意，买了之后没几天降价了，申请价格保护，京东爽快的给退了差价，满意,2018-05-23 06:29:26,6474492,2018-05-09 00:06:36,5,蓝***8,PLUS会员,True,来自京东Android客户端
7,11546679765,6474492,451aeafa-cc91-4452-bd29-c86a90da3bea,电脑刚拿到，颜值很高，很喜欢，占时还没有问题，开机速度很快 ，如果可以送个鼠标和电脑包就完美了，不知道后期会有什么表现，目前为止比较满意，祝店家生意兴隆,2018-06-02 22:15:28,6474492,2018-06-01 00:00:11,5,j***d,银牌会员,True,来自京东Android客户端
8,11786174603,6474492,efb21c6a-3b7c-4a6f-98ab-09ad0dbef9eb,对比好好多品牌的电脑，最后还是选中了戴尔的这一款，颜值真的不错，性能各方面也都挺好，开机速度非常快，主板位置略微有些发热，也属正常现象，可以接受！,2018-08-08 16:22:58,6474492,2018-08-06 19:09:44,5,j***y,银牌会员,True,来自京东Android客户端
9,11559721791,6474492,b792e002-89b8-4254-be62-868ba56c472f,电脑小白，全程自给自足，以为客服会帮助我的。电脑颜值很高，重量也可以，还没装什么软件。设计专业，不知道能不能用啊！,2018-06-06 08:30:06,6474492,2018-06-04 22:32:23,5,j***t,银牌会员,True,来自京东Android客户端
